Indicador de desigualdad de ingresos a nivel rural;;;;;Índice 
;;;;;
 Período ;;Índice de Gini;;;
Marzo ;2014;0,460;;;
;2015;0,452;;;
;2016;0,454;;;
;2017;0,447;;;
Junio;  2007 (1);-;;;
;2008;0,480;;;
;   2009 (1);-;;;
;2010;0,470;;;
;2011;0,462;;;
;2012;0,430;;;
;2013;0,429;;;
;2014;0,459;;;
;2015;0,437;;;
;2016;0,446;;;
;2017;0,434;;;
Septiembre;2014;0,456;;;
;2015;0,489;;;
;2016;0,455;;;
Diciembre;2007;0,501;;;
;2008;0,479;;;
;2009;0,455;;;
;2010;0,441;;;
;2011;0,456;;;
;2012;0,456;;;
;2013;0,441;;;
;2014;0,440;;;
;2015;0,475;;;
;2016;0,456;;;
;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;
Notas: (1) La información en junio 2007 y junio 2009 solo fue representativa a nivel urbano.;;;;;
;;;;;
